PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40396813","Sexual and reproductive health of adolescents and young people: identification of demands and experiences based on a qualitative study in communities in five Brazilian cities","Monteiro SS, Leal AF, Barbosa RM, Magno L, Neves ALMD, Honorato IB, Knauth DR.","Cad Saude Publica. 2025 May 19;41(4):e00047824. doi: 10.1590/0102-311XEN047824. eCollection 2025.","Monteiro SS","Cad Saude Publica","2025","2025/05/21","PMC12091859","","10.1590/0102-311XEN047824"
"37197597","[Addressing HIV/AIDS and syphilis in Venezuelan migrant women from the perspective of health managers in the North of BrazilManejo de la infección por el VIH/sida y la sífilis en mujeres migrantes venezolanas desde la perspectiva de los gestores de salud en el norte de Brasil]","Alvim FLK, de Jezus SV, da Silva AI, Leão AC, Zambonin F, Maciel ELN, Arcêncio RA.","Rev Panam Salud Publica. 2023 May 16;47:e83. doi: 10.26633/RPSP.2023.83. eCollection 2023.","Alvim FLK","Rev Panam Salud Publica","2023","2023/05/17","PMC10184579","","10.26633/RPSP.2023.83"
"40170629","Teleconsultations' Impact on Referral Streamlining and Waitlist Reduction: A Large-Scale Retrospective Cohort Study of Over 200,000 Cases","Pfeil JN, Katz N, Rados DRV, Silva RSD, Umpierre RN, Mattiello R, Roman R, Harzheim E.","Telemed J E Health. 2025 Aug;31(8):1003-1009. doi: 10.1089/tmj.2025.0023. Epub 2025 Apr 2.","Pfeil JN","Telemed J E Health","2025","2025/04/02","","","10.1089/tmj.2025.0023"
"36541947","Reasons referred by individuals who were not on kidney transplantation waiting lists","Dall'Agnol J, Schwartz E, Zanin V, Spagnolo LML, Lange C, Lise F.","Rev Gaucha Enferm. 2022 Dec 19;44:e20210158. doi: 10.1590/1983-1447.2023.20210158.en. eCollection 2022.","Dall'Agnol J","Rev Gaucha Enferm","2022","2022/12/21","","","10.1590/1983-1447.2023.20210158.en"
"42150098","Organ allocation and transplant equity in Brazil: the hidden burden of HLA homozygosity and hypersensitization","Santos Júnior ACSD, Nascimento E, Cruz ARD, Nascimento BV, Fabreti-Oliveira RA.","J Bras Nefrol. 2026 Jul-Sep;48(3):e20250294. doi: 10.1590/2175-8239-JBN-2025-0294en.","Santos Júnior ACSD","J Bras Nefrol","2026","2026/05/18","PMC13183359","","10.1590/2175-8239-JBN-2025-0294en"
"40802328","New paths for specialized care in the Municipality of Rio de Janeiro, Brazil: results from the Super Centro Carioca de Saúde","Britto FA, Ramos ALP, Bortolon P, Virgilio TC, Modesto A, Silva IM, Pegado RS, Prado Junior JC.","Cien Saude Colet. 2025 Jul;30(7):e18782024. doi: 10.1590/1413-81232025307.18782024. Epub 2025 Jan 31.","Britto FA","Cien Saude Colet","2025","2025/08/13","","","10.1590/1413-81232025307.18782024"
"40660076","Registry of access to chronic dialysis initiation at the Public Health System in Brazil","Samaan F, Clemente ÁMI, Zaicaner R, Kirsztajn GM, Sesso R.","Int Urol Nephrol. 2026 Jan;58(1):209-218. doi: 10.1007/s11255-025-04652-6. Epub 2025 Jul 14.","Samaan F","Int Urol Nephrol","2026","2025/07/14","","","10.1007/s11255-025-04652-6"
"40435845","The influence of sociodemographic factors on barriers to breast cancer screening: A cross-sectional study","Câmara AB, Moraes Luizaga CT, Pereira Baltar Cury LC, Contreras CAH, López RVM, Duarte LS, Carvalho AL, Basu P, Wünsch-Filho V.","Cancer Epidemiol. 2025 Aug;97:102852. doi: 10.1016/j.canep.2025.102852. Epub 2025 May 27.","Câmara AB","Cancer Epidemiol","2025","2025/05/28","","","10.1016/j.canep.2025.102852"
"35797804","Effects of immersive virtual reality on upper limb function in subjects with multiple sclerosis: A cross-over study","Bertoni R, Mestanza Mattos FG, Porta M, Arippa F, Cocco E, Pau M, Cattaneo D.","Mult Scler Relat Disord. 2022 Sep;65:104004. doi: 10.1016/j.msard.2022.104004. Epub 2022 Jun 30.","Bertoni R","Mult Scler Relat Disord","2022","2022/07/07","","","10.1016/j.msard.2022.104004"
"40767702","Impact of management of access to cardiac surgery in the Brazilian Unified Health System at a university hospital in Campinas: pre-post analysis, 2013-2019","Antunes ST, Lima VA, Santos ILD, Miguel RA, Ribeiro GCA, Mendes ET.","Epidemiol Serv Saude. 2025 Aug 4;34:e20240222. doi: 10.1590/S2237-96222025v34e20240222.en. eCollection 2025.","Antunes ST","Epidemiol Serv Saude","2025","2025/08/06","PMC12338985","","10.1590/S2237-96222025v34e20240222.en"
"37531539","Breast Cancer Care Network coordination: analysis in the light of the lean methodology for early diagnosis","Gurgel AGSR, Aragão JMN, Vasconcelos MIO, Magalhães ALP, Cristino Filho G, Parente JRF.","Cien Saude Colet. 2023 Aug;28(8):2313-2322. doi: 10.1590/1413-81232023288.05472023. Epub 2023 Apr 19.","Gurgel AGSR","Cien Saude Colet","2023","2023/08/02","","","10.1590/1413-81232023288.05472023"
"34074226","Analysis of the waiting time of the diagnosis for the first breast cancer treatment in southern Brazil","Maia de Castro FC, Jobim FC, Flores Jacobi L.","Women Health. 2021 Jul;61(6):542-549. doi: 10.1080/03630242.2021.1927285. Epub 2021 Jun 1.","Maia de Castro FC","Women Health","2021","2021/06/02","","","10.1080/03630242.2021.1927285"
"41464430","Older Adults' Perceptions of Health, Quality of Life, and Access to Health Promotion Initiatives for Active Aging: A Qualitative Approach","Ribeiro JAB, Vasconcelos BB, Fernandes KB, Crochemore-Silva I, Alberton CL.","Int J Environ Res Public Health. 2025 Nov 27;22(12):1796. doi: 10.3390/ijerph22121796.","Ribeiro JAB","Int J Environ Res Public Health","2025","2025/12/30","PMC12732731","","10.3390/ijerph22121796"
"35062139","Radiotherapy Information System in Cancer Treatment Improvement: A Case Study at the Brazilian National Cancer Institute","Gonçalves AA, Cheng C, de Castro Silva SLF, Cavalcante ET, Pereira Barbosa JG, Santos Sabbadini F.","Stud Health Technol Inform. 2022 Jan 14;289:248-251. doi: 10.3233/SHTI210906.","Gonçalves AA","Stud Health Technol Inform","2022","2022/01/22","","","10.3233/SHTI210906"
"41059817","[Nursing practices in primary care in remote rural municipalities]","Santos AMD, Giovanella L, Franco CM, Pereira AG, Lima JG, Fausto MCR, Almeida PF.","Cad Saude Publica. 2025 Oct 3;41(9):e00208124. doi: 10.1590/0102-311XPT208124. eCollection 2025.","Santos AMD","Cad Saude Publica","2025","2025/10/08","PMC12494390","","10.1590/0102-311XPT208124"
"35544829","Micro-Costing of a Remotely Operated Referral Management System to Secondary Care in the Unified Health System in Brazil","Pachito DV, Etges APBDS, Oliveira PRBP, Basso J, Bagattini ÂM, Riera R, Gehres LG, Mallmann ÉB, Rodrigues ÁS, Gadenz SD.","Cien Saude Colet. 2022 May;27(5):2035-2043. doi: 10.1590/1413-81232022275.07472021. Epub 2021 Aug 1.","Pachito DV","Cien Saude Colet","2022","2022/05/11","","","10.1590/1413-81232022275.07472021"
"38398458","Developing a Nomogram for Prioritizing Hysteroscopy in Endometrial Cancer Diagnosis: A Case-Control Study","Bottura B, Haddad RF, Alvarenga-Bezerra V, Campos V, Perez L, Resende C, Asencio FA, Liao AW, Gomes MTV, Zlotnik E, Moretti-Marques R.","J Clin Med. 2024 Feb 18;13(4):1145. doi: 10.3390/jcm13041145.","Bottura B","J Clin Med","2024","2024/02/24","PMC10889308","","10.3390/jcm13041145"
"41800352","Technological architecture for a multi-region solution within the regulation of Brazil's Unified Health System","Cardoso PH, Barreto TO, Valentim JLRDS, Coutinho KD, Dos Santos JPQ, de Morais AHF, Veras NVR, Portela AEA, Melo JS, Barros CDC, Pinheiro AS, Dantas MB, Paiva JCL, Filho JAP, de Almeida RS, Júnior WDS, da Silva AM, de Melo EAS, da Silva DLI, Crisostomo JVM, Dos Santos SRFC, Veloso CMFM, Machado GM, Valentim RAM.","Front Digit Health. 2026 Feb 20;8:1763929. doi: 10.3389/fdgth.2026.1763929. eCollection 2026.","Cardoso PH","Front Digit Health","2026","2026/03/09","PMC12963291","","10.3389/fdgth.2026.1763929"
"38299553","Barriers and facilitators to access post-stroke rehabilitation services in the first six months of recovery in Brazil","Soares C, Magalhães JP, Faria-Fortini I, Batista LR, Andrea Oliveira Lima L, Faria CD.","Disabil Rehabil. 2024 Nov;46(23):5601-5607. doi: 10.1080/09638288.2024.2310756. Epub 2024 Feb 1.","Soares C","Disabil Rehabil","2024","2024/02/01","","","10.1080/09638288.2024.2310756"
"41966810","Minor procedures in primary health care: A rapid review","Montagna Barbosa Gouvêa A, Paes JPRS, Hannesch A, Pasa ME, Rodrigues RRD.","Public Health. 2026 Jun;255:106277. doi: 10.1016/j.puhe.2026.106277. Epub 2026 Apr 10.","Montagna Barbosa Gouvêa A","Public Health","2026","2026/04/12","","","10.1016/j.puhe.2026.106277"
"38423832","Hepatocellular Carcinoma in Ceará: Epidemiology and Treatment in a Reference Liver Transplant Center in Northeast Brazil","Costa PEG, Garcia JHP, Coelho GR, Barros MAP, Hyppolito EB, Pereira KB, Rocha TDDS, Costa GCG.","Transplant Proc. 2024 Jun;56(5):1083-1086. doi: 10.1016/j.transproceed.2024.01.024. Epub 2024 Feb 29.","Costa PEG","Transplant Proc","2024","2024/02/29","","","10.1016/j.transproceed.2024.01.024"
"39046041","Do good things really come to those who wait? An analysis of the average time of acceptance in Brazilian surgery journals","Bentes LGB, Aranha MFAC, Obara MK, Shibata LY, Souza PRN, Borges JFT, Duarte LB, Marcião LFS, Barros RSM.","Acta Cir Bras. 2024 Jul 22;39:e393824. doi: 10.1590/acb393824. eCollection 2024.","Bentes LGB","Acta Cir Bras","2024","2024/07/24","PMC11262766","","10.1590/acb393824"
"41883617","Direct and indirect medical costs associated with transfusion-dependent beta-thalassemia in Brazil, Thailand, and India","Seth T, Tantiworawit A, Loggetto SR, Glassberg MB, Khaikham P, Marinheiro P, Williams J, Roubik CF, Lee C, Ly NF, Hindocha P, Mallya A, von Bredow D, Punekar Y, Hnoosh A.","Ther Adv Hematol. 2026 Mar 19;17:20406207261416795. doi: 10.1177/20406207261416795. eCollection 2026.","Seth T","Ther Adv Hematol","2026","2026/03/26","PMC13010036","","10.1177/20406207261416795"
"34967966","User satisfaction with Dental Specialty Centers in Brazil: Proposal of satisfaction index and associated factors","da Silva NB, Martiniano SG, Cardoso AMR, Cavalcanti YW, Figueiredo N, Padilha WWN.","Community Dent Oral Epidemiol. 2022 Feb;50(1):67-73. doi: 10.1111/cdoe.12718.","da Silva NB","Community Dent Oral Epidemiol","2022","2021/12/30","","","10.1111/cdoe.12718"
"39082499","[Analysis of the effect of mammography allocation on women's health indicators]","Silva ARD, Nicolella AC, Pazello ET.","Cad Saude Publica. 2024 Jul 29;40(7):e00220122. doi: 10.1590/0102-311XPT220122. eCollection 2024.","Silva ARD","Cad Saude Publica","2024","2024/07/31","PMC11290823","","10.1590/0102-311XPT220122"
"40561285","[Waiting lists in specialized outpatient care: reflections on a critical concept for Brazilian Unified National Health System]","Giannotti EM, Louvison M, Chioro A.","Cad Saude Publica. 2025 Jun 20;41(6):e00220724. doi: 10.1590/0102-311XPT220724. eCollection 2025.","Giannotti EM","Cad Saude Publica","2025","2025/06/25","PMC12185040","","10.1590/0102-311XPT220724"
"35226338","Assessment of the clinical and laboratorial profile of patients with obesity and asymptomatic COVID-19 undergoing bariatric surgery in Brazil","Santa-Cruz F, Araújo-Júnior JGC, Siqueira LT, Leão LHA, Vianna C, Almeida ACA, Silva MS, Kreimer F, Ferraz ÁAB.","Obes Surg. 2022 Apr;32(4):1064-1071. doi: 10.1007/s11695-022-05891-7. Epub 2022 Feb 28.","Santa-Cruz F","Obes Surg","2022","2022/02/28","PMC8882461","","10.1007/s11695-022-05891-7"
"35224217","Impact of COVID-19 pandemic on routine vaccination coverage of children and adolescents: A systematic review","SeyedAlinaghi S, Karimi A, Mojdeganlou H, Alilou S, Mirghaderi SP, Noori T, Shamsabadi A, Dadras O, Vahedi F, Mohammadi P, Shojaei A, Mahdiabadi S, Janfaza N, Keshavarzpoor Lonbar A, Mehraeen E, Sabatier JM.","Health Sci Rep. 2022 Feb 18;5(2):e00516. doi: 10.1002/hsr2.516. eCollection 2022 Mar.","SeyedAlinaghi S","Health Sci Rep","2022","2022/02/28","PMC8855492","","10.1002/hsr2.516"
"39775276","Artificial intelligence applied to bed regulation in Rio Grande do Norte: Data analysis and application of machine learning on the ""RegulaRN Leitos Gerais"" platform","Barreto TO, Farias FLO, Veras NVR, Cardoso PH, Silva GJPC, Pinheiro CO, Medina MVB, Fernandes FRDS, Barbalho IMP, Cortez LR, Santos JPQD, Morais AHF, Souza GF, Machado GM, Lucena MJNR, Valentim RAM.","PLoS One. 2024 Dec 30;19(12):e0315379. doi: 10.1371/journal.pone.0315379. eCollection 2024.","Barreto TO","PLoS One","2024","2025/01/08","PMC11684685","","10.1371/journal.pone.0315379"
"34641849","Spatial analysis of tuberculosis cure in primary care in Rio de Janeiro, Brazil","Prado Junior JC, Medronho RA.","BMC Public Health. 2021 Oct 12;21(1):1841. doi: 10.1186/s12889-021-11834-1.","Prado Junior JC","BMC Public Health","2021","2021/10/13","PMC8507316","","10.1186/s12889-021-11834-1"
"37414098","Initial evaluation of a multidisciplinary pediatric aerodigestive program in a Brazilian hospital: challenges and mitigation strategies","Pazinatto DB, Brandão MAB, Costa FLP, Maunsell R.","J Pediatr (Rio J). 2023 Nov-Dec;99(6):626-634. doi: 10.1016/j.jped.2023.05.012. Epub 2023 Jul 3.","Pazinatto DB","J Pediatr (Rio J)","2023","2023/07/06","PMC10594015","","10.1016/j.jped.2023.05.012"
"41048332","Usability evaluation of augmented reality glasses for remote support during extracorporeal membrane oxygenation","König S, Hinricher N, Backhaus C.","Comput Struct Biotechnol J. 2025 Sep 18;28:372-379. doi: 10.1016/j.csbj.2025.09.025. eCollection 2025.","König S","Comput Struct Biotechnol J","2025","2025/10/06","PMC12489931","","10.1016/j.csbj.2025.09.025"
"39998901","Secondary hyperparathyroidism due to chronic kidney disease and access to clinical treatment and parathyroidectomy in Brazil: a nationwide survey","Pelepenko LE, Louça MG, Fausto T, Bucharles SGE, Custódio MR, Lucca Junior L, Barreto FC, Carvalho AB, Jorgetti V, Moura Neto JA, Oliveira RB.","J Bras Nefrol. 2025 Apr-Jun;47(2):e20240158. doi: 10.1590/2175-8239-JBN-2024-0158en.","Pelepenko LE","J Bras Nefrol","2025","2025/02/25","PMC11855617","","10.1590/2175-8239-JBN-2024-0158en"
"40327519","First Step to Equity and Organization in Waiting Lines for Stone Surgery. Translation of Prioritization Scores","Gentile G, Vicentini FC, Montagna E, Pérez-Fentes D, Roncete GP, Brito AH, Torricelli FM, Danilovic A, Batagello CA, Mazzucchi E, Nahas WC.","Int Braz J Urol. 2025 Jul-Aug;51(4):e20250039. doi: 10.1590/S1677-5538.IBJU.2025.0039.","Gentile G","Int Braz J Urol","2025","2025/05/06","PMC12236971","","10.1590/S1677-5538.IBJU.2025.0039"
"41231451","Satisfaction with dental services among Brazilian school children","Horbach AL, de Aquino Goulart M, Cheong Pinho AA, Hugo FN, Celeste RK.","Community Dent Health. 2026 Mar;43(1):71-82. doi: 10.1177/0265539X251390875. Epub 2025 Nov 13.","Horbach AL","Community Dent Health","2026","2025/11/13","","","10.1177/0265539X251390875"
"38265314","Spatial analysis of care for patients undergoing dialysis therapy in the state of Minas Gerais, Brazil, between 2015 and 2019","Pereira CV, Leite ICG, Nogueira MC, Ferreira GF.","Rev Bras Epidemiol. 2024 Jan 19;27:e240002. doi: 10.1590/1980-549720240002. eCollection 2024.","Pereira CV","Rev Bras Epidemiol","2024","2024/01/24","PMC10798058","","10.1590/1980-549720240002"
"35649101","[Coordination of clinical management between levels: the views of physicians in primary and specialized care in Recife, Pernambuco State, Brazil]","Guerra S, Martelli PJL, Dubeux LS, Marques P, Samico IC.","Cad Saude Publica. 2022 May 30;38(5):e00262921. doi: 10.1590/0102-311XPT262921. eCollection 2022.","Guerra S","Cad Saude Publica","2022","2022/06/01","","","10.1590/0102-311XPT262921"
"36000688","Mesothelioma in a developing country: a retrospective analysis of the diagnostic process","Gregório PHP, Terra RM, Lima LP, Pêgo-Fernandes PM.","J Bras Pneumol. 2022 Aug 19;48(5):e20220064. doi: 10.36416/1806-3756/e20220064. eCollection 2022.","Gregório PHP","J Bras Pneumol","2022","2022/08/24","PMC9496203","","10.36416/1806-3756/e20220064"
"40276268","Organization of a Pediatric Scoliosis Surgery Task Force and Analysis of Clinical and Radiographic Outcomes","Bitencourt Júnior CAB, Pratali RR, Lira RCA, Morais SV, Araújo AMM, Herrero CFPDS.","Rev Bras Ortop (Sao Paulo). 2025 Apr 11;60(1):s00441800946. doi: 10.1055/s-0044-1800946. eCollection 2025 Feb.","Bitencourt Júnior CAB","Rev Bras Ortop (Sao Paulo)","2025","2025/04/25","PMC12020556","","10.1055/s-0044-1800946"
"39194081","Factors associated with delayed initiation of breast cancer treatment at an oncology referral center in Juiz de Fora, Minas Gerais state, from 2010 to 2019: a cohort study","Silva FPCD, Souza MC, Bertoni N.","Epidemiol Serv Saude. 2024 Aug 23;33:e20231177. doi: 10.1590/S2237-96222024v33e20231177.en. eCollection 2024.","Silva FPCD","Epidemiol Serv Saude","2024","2024/08/28","PMC11346680","","10.1590/S2237-96222024v33e20231177.en"
"35262614","Short-term effects of the COVID-19 pandemic on cancer screening, diagnosis and treatment procedures in Brazil: a descriptive study, 2019-2020","Ribeiro CM, Correa FM, Migowski A.","Epidemiol Serv Saude. 2022 Mar 7;31(1):e2021405. doi: 10.1590/S1679-49742022000100010. eCollection 2022.","Ribeiro CM","Epidemiol Serv Saude","2022","2022/03/09","PMC11346577","","10.1590/S1679-49742022000100010"
"34231693","Health service utilization by Quilombola and non-Quilombola adolescents living in a rural area in the semi-arid region of the state of Bahia, Brazil","Santana KC, Silva EKPD, Rodriguez RB, Bezerra VM, Souzas R, Medeiros DS.","Cien Saude Colet. 2021 Jul;26(7):2807-2817. doi: 10.1590/1413-81232021267.09712021. Epub 2021 May 1.","Santana KC","Cien Saude Colet","2021","2021/07/07","","","10.1590/1413-81232021267.09712021"
"39879397","[Analysis of the performance of dialysis centers in referring and enrolling patients into the pre-kidney transplant waiting list in Minas Gerais State, Brazil, 2015 to 2019]","Pereira CV, Leite ICG, Nogueira MC, Ferreira GF.","Cad Saude Publica. 2025 Jan 27;41(1):e00021423. doi: 10.1590/0102-311XPT021423. eCollection 2025.","Pereira CV","Cad Saude Publica","2025","2025/01/29","PMC11774332","","10.1590/0102-311XPT021423"
"35766673","Complications associated with the use of temporary pacemaker in patients waiting for definitive device implantation","Papp SER, Torres ALNE, Vasquez AEL, Gioli-Pereira L.","Einstein (Sao Paulo). 2022 Jun 24;20:eAO8013. doi: 10.31744/einstein_journal/2022AO8013. eCollection 2022.","Papp SER","Einstein (Sao Paulo)","2022","2022/06/29","PMC9239569","","10.31744/einstein_journal/2022AO8013"
"42138848","Action on waiting list for Speech Therapy in the Unified Health System (SUS) in a medium-sized Brazilian municipality","Salles TMA, Santos MGPD, Moraes RG, Alpes MF, Ferreira-Vasques AT.","Codas. 2026 May 8;38(3):e20250038. doi: 10.1590/2317-1782/e20250038pt. eCollection 2026.","Salles TMA","Codas","2026","2026/05/15","PMC13193191","","10.1590/2317-1782/e20250038pt"
"41747256","Co-Created Digital Pretherapy Psychoeducation for Outpatients in Specialized Mental Health Care: Usability Evaluation and Patient Satisfaction Study","Pedersen H, Skliarova T, Engvik LS, Mandahl A, De Las Cuevas C, Havnen A, Lara-Cabrera ML.","JMIR Hum Factors. 2026 Feb 26;13:e80130. doi: 10.2196/80130.","Pedersen H","JMIR Hum Factors","2026","2026/02/26","PMC12982959","","10.2196/80130"
"41100755","Feasibility of a Guided Web-Based Procrastination Intervention for College Students: Open Trial","Ozmen S, Amarnath A, de Wit L, van Klaveren C, Cuijpers P, van Straten A, Struijs S; Caring Universities Consortium.","JMIR Form Res. 2025 Oct 16;9:e72896. doi: 10.2196/72896.","Ozmen S","JMIR Form Res","2025","2025/10/16","PMC12530647","","10.2196/72896"
"34358637","Disparity in the access to kidney transplantation for sensitized patients in the state of Sao Paulo-Brazil","Perosa M, Ferreira GF, Modelli LG, Medeiros MP, Neto SR, Moreira F, Zampieri FG, de Marco R, Bortoluzzo AB, Venezuela MK.","Transpl Immunol. 2021 Oct;68:101441. doi: 10.1016/j.trim.2021.101441. Epub 2021 Aug 3.","Perosa M","Transpl Immunol","2021","2021/08/06","","","10.1016/j.trim.2021.101441"
"34967969","Contextual and local determinants associated with the achievement of goals in the endodontics specialty in Brazilian dental speciality centres: A multilevel analysis","Pinto RDS, Lucas SD, Goes PSA, Silva SLD, Neves ÉSM, Zina LG, Vettore MV.","Community Dent Oral Epidemiol. 2022 Feb;50(1):74-82. doi: 10.1111/cdoe.12722.","Pinto RDS","Community Dent Oral Epidemiol","2022","2021/12/30","","","10.1111/cdoe.12722"
"39165146","Prolonged use of old dentures: A qualitative study with Brazilian older adults","Mendonça CCG, Nogueira TE, Moreira FDCL, Jordão LMR, McKenna G, Leles CR.","Gerodontology. 2025 Jun;42(2):225-232. doi: 10.1111/ger.12787. Epub 2024 Aug 21.","Mendonça CCG","Gerodontology","2025","2024/08/21","","","10.1111/ger.12787"
"38324843","Factors associated with the hospitalization of users referred from primary health care to follow-up in Psychosocial Care Centers in the city of São Paulo, Brazil","Sanine PR, Godoi LPDS, Rosa TEDC, Garcia ÉM, Belotti L, Campos RTO, Tanaka OY.","Cien Saude Colet. 2024 Feb;29(2):e19932022. doi: 10.1590/1413-81232024292.19932022. Epub 2023 May 14.","Sanine PR","Cien Saude Colet","2024","2024/02/07","","","10.1590/1413-81232024292.19932022"
"41981456","Strategies to improve retention in care among people living with HIV at health facilities in Manaus, Brazil: insight from health care providers","Salimo ZM, da Silva EF, Yakubu MN, Nogueira PA, Benzaken AS.","AIDS Res Ther. 2026 Apr 14;23(1):53. doi: 10.1186/s12981-026-00885-2.","Salimo ZM","AIDS Res Ther","2026","2026/04/14","PMC13109883","","10.1186/s12981-026-00885-2"
"38810507","Short- and long-term effects of incentives on prosocial behavior: The case of ride vouchers to a blood collection agency","Ferreira CM, Vieites Y, Goldszmidt R, Barros LSG, Andrade EB.","Soc Sci Med. 2024 Jul;352:117019. doi: 10.1016/j.socscimed.2024.117019. Epub 2024 May 24.","Ferreira CM","Soc Sci Med","2024","2024/05/29","","","10.1016/j.socscimed.2024.117019"
"40097467","Mental health outcomes following a four week online training on social emotional and ethical learning for public school teachers","Romano GVS, Bazán PR, Sato JR, da Cruz NVCJ, Pacifico EDS, Lacerda SS, Kolchraiber FC, Frazier T, Kozasa EH.","Sci Rep. 2025 Mar 17;15(1):9179. doi: 10.1038/s41598-025-91967-0.","Romano GVS","Sci Rep","2025","2025/03/18","PMC11914406","","10.1038/s41598-025-91967-0"
"41982850","[Need, Opportunity, and Accessibility: Application of the NOA method to analyze the effectiveness of the organ transplant system in BrazilNecesidad, oportunidad y accesibilidad: aplicación del método NOA para analizar la eficacia del sistema de trasplante de órganos en Brasil]","Thomé T, Menjivar A, Severino PF, Duro Garcia V, Erbs Pessoa JL, Schirmer J, Beltran Duran M, de Aguiar Roza B.","Rev Panam Salud Publica. 2026 Apr 13;50:e43. doi: 10.26633/RPSP.2026.43. eCollection 2026.","Thomé T","Rev Panam Salud Publica","2026","2026/04/15","PMC13075452","","10.26633/RPSP.2026.43"
"34378691","[How Brazilians access Primary Health Care: evolution and adversities in recent times (2012-2018)]","Sousa ANA, Shimizu HE.","Cien Saude Colet. 2021 Aug;26(8):2981-2995. doi: 10.1590/1413-81232021268.08972020. Epub 2020 May 1.","Sousa ANA","Cien Saude Colet","2021","2021/08/11","","","10.1590/1413-81232021268.08972020"
"34284822","Quality of referrals to a rheumatology service before and after implementation of a triage system with telemedicine support","Piovesan DM, Busato VB, da Silveira RG, do Prado AD, Molina-Bastos CG, Hickmann S, Bongiorno GK, de David Cruz C, Zamboni S, Simon JC, Gonçalves MR, Bredemeier M.","Adv Rheumatol. 2021 Jul 20;61(1):47. doi: 10.1186/s42358-021-00203-6.","Piovesan DM","Adv Rheumatol","2021","2021/07/21","","","10.1186/s42358-021-00203-6"
"33955072","Use of neck circumference as a predictor of cardiovascular risk in chronic kidney patients undergoing haemodialysis who are candidates for transplantation","Torres Medeiros L, Caldas Sales AE, da Silva E Sousa FI, Vieira Moreira TM, Vital Batista AC, Marques Braga RA, Camacho Santos Daltro AF, Costa de Oliveira CM.","J Hum Nutr Diet. 2021 Aug;34(4):758-767. doi: 10.1111/jhn.12909. Epub 2021 Jun 11.","Torres Medeiros L","J Hum Nutr Diet","2021","2021/05/06","","","10.1111/jhn.12909"
"40105677","Specialized medical care in primary care using telemedicine in Northeast Brazil: a descriptive study, Rio Grande do Norte, Brazil, 2022-2023","Chagas MEV, Fernandes GR, Fernandes DH, Dode AD, Aguilar GT, Linhares TS, Costa MB, Caires HT, Cabral FC, Constant HMRM, Moreira TC.","Epidemiol Serv Saude. 2025 Mar 14;34:e20240256. doi: 10.1590/S2237-96222025v34e20240256.en. eCollection 2025.","Chagas MEV","Epidemiol Serv Saude","2025","2025/03/19","PMC11913440","","10.1590/S2237-96222025v34e20240256.en"
"40834153","Analysis of outcomes and reasons for refusing organs offered by the National Transplant Center","Freire P, Reis CMS, Novaes MRCG.","Einstein (Sao Paulo). 2025 Aug 18;23:eAO1598. doi: 10.31744/einstein_journal/2025AO1598. eCollection 2025.","Freire P","Einstein (Sao Paulo)","2025","2025/08/20","PMC12539821","","10.31744/einstein_journal/2025AO1598"
"35103611","The Impact of Artificial Intelligence on Waiting Time for Medical Care in an Urgent Care Service for COVID-19: Single-Center Prospective Study","Bin KJ, Melo AAR, da Rocha JGMF, de Almeida RP, Cobello Junior V, Maia FL, de Faria E, Pereira AJ, Battistella LR, Ono SK.","JMIR Form Res. 2022 Feb 1;6(2):e29012. doi: 10.2196/29012.","Bin KJ","JMIR Form Res","2022","2022/02/01","PMC8812142","","10.2196/29012"
"37850374","Efficacy of telerehabilitation exercise in patients with chronic neck pain: a protocol for a non-inferiority randomized controlled trial","Neves Antonio GL, Almeida MQ, Avila MA, de Noronha MA, Approbato Selistre LF.","Pain Manag. 2023 Sep;13(9):497-507. doi: 10.2217/pmt-2023-0070. Epub 2023 Oct 18.","Neves Antonio GL","Pain Manag","2023","2023/10/18","","","10.2217/pmt-2023-0070"
"35170631","Epidemiological and clinical analyses of corneal transplants performed in a reference eye center in Recife, Brazil","Ribeiro ES, Andrada AEF, Higino TMM, Lopes ID, Vasconcelos AC, Medeiros AL, Rocha CSD, Ventura CV.","Arq Bras Oftalmol. 2022 Sep-Oct;85(5):506-512. doi: 10.5935/0004-2749.20220074.","Ribeiro ES","Arq Bras Oftalmol","2022","2022/02/16","PMC11826804","","10.5935/0004-2749.20220074"
"34256830","Telerehabilitation program for older adults on a waiting list for physical therapy after hospital discharge: study protocol for a pragmatic randomized trial protocol","Borges PRT, Resende RA, Dias JF, Mancini MC, Sampaio RF.","Trials. 2021 Jul 13;22(1):445. doi: 10.1186/s13063-021-05387-2.","Borges PRT","Trials","2021","2021/07/14","PMC8275917","","10.1186/s13063-021-05387-2"
"40862840","Treatment Disparities, Heterogeneities, and Barriers to Access for Patients with Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer: A National Survey from Brazil","Resende H, Aguiar VQ, Santos NFA, Jardim JVS, Ornelas A.","Curr Oncol. 2025 Aug 19;32(8):471. doi: 10.3390/curroncol32080471.","Resende H","Curr Oncol","2025","2025/08/27","PMC12384988","","10.3390/curroncol32080471"
