"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid CNN-LSTM Model for Healthcare Service Efficiency Prediction and Optimization","F. V. Jayasudha; B. R. Supreeth; R. Mishra; D. Sugumaran; V. P. Rameshkumaar; M. Tiwari","Department of ECE, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Computer Science, Oxford Degree and PG College, Ullal, Bangalore, India; Department: Artificial Intelligence and Machine Learning, D J Sanghvi College of Engineering, Mumbai, India; Department of Information Technology, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, Tami Nadu, India; Department of Management Studies, Sona College of Technology, Salem, Tamil Nadu, India; Department of Computer Science and Engineering, Bharati Vidyapeeth's College of Engineering, Delhi, India",2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"18 Feb 2026","2025","","","1","8","The growing complexity of medical processes requires smart models that can forecast and streamline the efficiency of the service with the help of different patient and hospital statistics. A Hybrid CNNLSTM framework to improve healthcare performance in terms of temporalspatial feature learning. The model combines Convolutional Neural Networks to extract the spatial features and Long Short-Term Memory layers to identify the sequential patterns, which would provide the correct prediction of patient flow, diagnostic load, and resource utilization. The proposed system also outperforms the existing deep learning architectures by achieving an accuracy of 97.86%, precision of 97.42%, recall of 96.95%, F1-score of 97.09%, and a lower RMSE of 0.081 on a real-world MIMIC-IV dataset. The hybrid model exhibits better adaptability, effective calculation, and strong generalization during real-time healthcare settings. Itconcludes that the offered CNNLSTM combination is a valid solution to streamline the work of hospitals, enhance clinical performance, and provide opportunities to manage healthcare based on data.","2996-2986","979-8-3315-6187-1","10.1109/ICONSTEM65670.2025.11374830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11374830","Gated Recurrent Unit;Root Mean Squared Error;Mean Absolute Error;Convolutional Neural Network;Support Vector Machine","Adaptation models;Accuracy;MIMICs;Predictive models;Feature extraction;Real-time systems;Convolutional neural networks;Resource management;Medical diagnostic imaging;Optimization","","","","17","IEEE","18 Feb 2026","6-7 Nov. 2025","6-7 Nov. 2025","IEEE","IEEE Conferences"
"Preventing Health Risks Through Intelligent Medical Appointment Management Using Disease and Attendance Propensity","F. Troncoso-Espinosa; G. Latorre-Núñez; C. Valenzuela-Núñez; J. San Martín-Durán","Department of Industrial Engineering, Universidad del Bío-Bío, Concepción, Chile; Department of Industrial Engineering, Universidad del Bío-Bío, Concepción, Chile; Department of Industrial Engineering, Universidad del Bío-Bío, Concepción, Chile; Department of Industrial Engineering, Universidad del Bío-Bío, Concepción, Chile",IEEE Access,"9 Dec 2024","2024","12","","180747","180766","Intelligent management of medical appointments can significantly enhance patient care and reduce health risks. By leveraging disease and attendance propensity, our system aims to minimize the likelihood of patients developing serious conditions due to missed appointments by strategically scheduling those at higher risk. For its development, the methodology begins with the formulation of an optimization model, using assumed values for disease and attendance propensity to establish an initial, efficient scheduling of appointments. Subsequently, machine learning algorithms are applied to patient historical data to obtain more precise and realistic estimates of these propensities, which are then integrated into the model to adjust appointment allocation according to each patient’s individual risk. The results demonstrate that the Intelligent Medical Appointment Management Model significantly outperforms random scheduling, which simulates current real-world practices without the use of an intelligent patient assignment system. Patients scheduled by the intelligent model show higher mean propensities to attend appointments and to develop diseases, ensuring that medical resources are allocated efficiently to those in greatest need. Statistical validation confirms the model’s effectiveness, showing significant differences in scheduling outcomes between the intelligent and random models. This approach highlights the potential to reduce health risks among a group of patients by utilizing both their medical histories and synthetic data for more accurate predictions and effective scheduling.","2169-3536","","10.1109/ACCESS.2024.3508454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770222","Intelligent scheduling;disease propensity;attendance propensity;healthcare management;predictive analytics","Diseases;Medical services;Scheduling;Medical diagnostic imaging;Machine learning;Accuracy;Resource management;Job shop scheduling;Hospitals;Data models","","","","38","CCBY","27 Nov 2024","2024","","IEEE","IEEE Journals"
"Integrating Computer Vision and Agent-Based Modeling for Multiscale Optimization of Patient Care in Hospitals and Senior Living Communities","A. Emekci","Pioneer High School, San Jose, CA, USA","2025 Conference on AI, Science, Engineering, and Technology (AIxSET)","5 May 2026","2025","","","73","76","Our paper introduces a multiscale simulation framework that combines agent-based modeling (ABM) and computer vision to optimize patient monitoring and behavioral analysis in healthcare environments. Using low-cost infrared sensor arrays, we simulated three spatial scales, each with a tailored computational method: building, room, and partial-room. At the building scale, we generated thousands of randomized hospital floor plans and simulated patient traffic with ABM. We then trained a U-Net to predict patient flow maps, enabling rapid experimentation with architectural layouts. At the room scale, we simulated overhead thermal images and achieved 99.9% segmentation accuracy in identifying patients in a specific room. These counts form time-series datasets used to train an XGBoost model to forecast future movements and detect anomalies. At the partial-room scale, we simulated patient fields of vision to identify areas where social encounters were likely to occur. By optimizing camera placement, and leveraging multi-label classification, we can classify social interactions. Our framework supports scalable, privacy-conscious monitoring while preserving behavior-level insight. The integration of synthetic dataset generation, machine learning, and rule-driven simulation enables rapid iteration, anomaly detection, and environmentally-aware design, laying the foundation for future deployment in hospitals, senior living facilities, and similar settings.","","979-8-3315-7124-5","10.1109/AIxSET65682.2025.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11500037","Agent-Based Modeling;U-Net;Anomaly Detection;Computer Vision;Patient Flow Simulation","Activity recognition;Sensor systems;Human activity recognition;Protocols;Radio access networks;Regional area networks;HTTP;Storage area networks;Videos;Computer networks","","","","6","IEEE","5 May 2026","1-3 Oct. 2025","1-3 Oct. 2025","IEEE","IEEE Conferences"
"ML-MT: A Study of e-Health Application Framework by Machine Learning Techniques","K. Mridha; A. Ritu; M. M. A. Chowdhury; N. Arefin","Computer Engineering, Marwadi University, Rajkot, Gujarat, India; Computer Science and Engineering, BRAC University; Mathematics, Shahjalal University of Science and Technology; Computer Science and Technology, Southwest University of Science and Technology","2022 IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)","22 Dec 2022","2022","","","337","342","One of the crucial challenges of the healthcare sector is to provide services efficiently so that everyone can get the care they need without having to get caught up in the administrative processes or a long waiting list. Machine learning has been used to solve various problems in healthcare and this research paper aims to increase efficiency by providing an easy-to-use platform that not only works as a bridge between the doctors and the patients but also expedites the diagnosis process with the assistance of machine learning. The proposed framework is composed of mainly two core components which are the patient management system and the doctor management system. The patient management system allows patients to request an appointment, collects and monitors patient data, and predicts the chances of the patient having heart disease, kidney disease, liver disease, cancer, and diabetes. The doctor views their appointments, patients list, and status, and provides diagnosis and treatment where the prediction from the patient management system comes in handy to make decisions faster. The doctor’s assistant and hospital administrative staff work behind the scene so that appointment scheduling is running smoothly and data is properly available for the models to make predictions. Among the machine learning algorithms explored, Logistic regression had the highest accuracy values in predicting cancer (97%), diabetes (92%), and liver disease (91%). Naive Bayes was 97% accurate in predicting kidney disease and Random Forest was 94% accurate in predicting heart disease which was the best performance in the case of these two diseases.","","978-1-6654-6246-4","10.1109/ICCCMLA56841.2022.9989049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9989049","e-health;breast cancer;diabetes;heart disease;kidney disease;machine learning;web application","Heart;Liver diseases;Hospitals;Predictive models;User experience;Diabetes;Kidney","","4","","18","IEEE","22 Dec 2022","8-9 Oct. 2022","8-9 Oct. 2022","IEEE","IEEE Conferences"
"Model Agnostic Predictive Smart Load Balancer in Microservices Environment","S. Chaflekar; R. Rewatkar","Computer Science & Engineering (AIDS), Datta Meghe Institute of Higher Education and Research), Wardha, Maharashtra, India; Computer Science & Engineering (AIDS), Datta Meghe Institute of Higher Education and Research), Wardha, Maharashtra, India","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)","20 Jan 2025","2024","","","1","6","This paper presents a model-agnostic predictive smart load balancer for microservices environments, utilizing machine learning to optimize load distribution and resource utilization. The system leverages access logs from NASA, Calgary, and Clarknet datasets to categorize requests and estimate service times for various request types. Advanced ML models, including LSTM, GRU, RNN, ARIMA, and SARIMA, are employed to predict future loads on microservice instances. The load balancer uses these predictions to make proactive decisions, redirecting requests using a weighted round-robin algorithm and preemptively creating new instances when necessary. This approach ensures efficient handling of incoming requests, reduces wait times, and prevents resource over-provisioning. The system’s model-agnostic design allows for seamless integration of new ML models, enhancing its flexibility and robustness. Experimental results demonstrate significant improvements in load management and cost optimization compared to traditional load balancers, highlighting the effectiveness of incorporating ML for intelligent load balancing.","","979-8-3315-2871-3","10.1109/IDICAIEI61867.2024.10842849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10842849","Load Prediction;Micro-services;Cloud Computing;Model Agnostic;Load Balancer","Costs;Computational modeling;Microservice architectures;Machine learning;Predictive models;Load management;Prediction algorithms;Robustness;Resource management;Load modeling","","2","","15","IEEE","20 Jan 2025","29-30 Nov. 2024","29-30 Nov. 2024","IEEE","IEEE Conferences"
"Proposed Model for NEOM City Based on Internet of Things (IoT) and MLC at ED System","H. Hijry","Industrial Engineering Department, University of Tabuk, Tabuk, Saudi Arabia",2024 IEEE International Conference on Prognostics and Health Management (ICPHM),"13 Aug 2024","2024","","","23","32","Smart cities are continually growing to promise better services and solve traditional urban problems. One of the most notable challenges in current city hospitals is the complex patient workflow process. NEOM is a $500 billion investment that was announced in October 2017 as part of Saudi Arabia's Vision 2030 initiative. It will be located on the Red Sea Coast, and it will use the latest technologies, including artificial intelligence, and the Internet of Things (IoT), to tackle some of the world's toughest healthcare problems. Sensors will collect all the data and create a digital twin, which will lead to personalized medicine where citizens, not hospitals, are at the center of the system and can be supported by the latest medical advances for better treatment. This study proposed a smart model for the emergency department (ED) system to improve the patient's workflow using Machine Learning Control (MLC), IoT, and a simulation tool as discrete-event simulation (DES). The DES was used to collect different data (such as queue length and average waiting time) that could be compared with the information absorbed by the IoT sensors. The ED system improved with a 55% reduction in the expected time patients spend in the system and a 39% increase in the expected number of patients discharged. The methodology applied will enhance not only healthcare management systems but also extend its benefits to other domains, such as workflow optimization in manufacturing, thereby contributing to an overall enhancement of the system's workflow.","2166-5656","979-8-3503-7447-6","10.1109/ICPHM61352.2024.10627366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10627366","healthcare system;patient flow;MLC;DES;ED;IoT sensors;smart city","Sea coast;Hospitals;Smart cities;Telemedicine;Machine learning;Sensor systems;Internet of Things","","","","37","IEEE","13 Aug 2024","17-19 June 2024","17-19 June 2024","IEEE","IEEE Conferences"
"Healthcare Economics-Vital Threat Detection System Efficiency: A Business Process Analysis Methodology","S. Elhag; A. Alghamdi; A. Alahmari; A. Alharbi","Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia",IEEE Access,"7 Apr 2025","2025","13","","58025","58033","Continuous monitoring of vital signs is a significant challenge in healthcare, particularly for individuals requiring precise and frequent follow-ups, such as elderly and chronically ill patients often resulting in delayed responses to emergencies. This research uses a business process analysis approach to propose and present “SafePulse,” a solution that utilizes a smartwatch to collect vital data such as blood pressure, heart rate, and glucose levels through the Internet of Things (IoT). The data is sent to the cloud, where it is stored and analyzed using artificial intelligence (AI) algorithms to predict critical health conditions. When any abnormalities are detected, immediate alerts are sent to family members or caregivers via mobile applications, enabling a quick response. The system provides high flexibility and scalability to accommodate a large number of users, improving healthcare quality through proactive monitoring and real-time information. After realizing and analyzing the data of KPI extracted from the “SafePulse” process, the IoT solution emerges as an effective and adaptable solution for addressing the challenges of vital sign monitoring; and this answers the main research question of this work; which is; how a business process methodology is used to analyze, implement and monitor continuous improvements of the process of continuous monitoring of vital threat signs.","2169-3536","","10.1109/ACCESS.2025.3553447","Deanship of Scientific Research at King Abdulaziz University, Jeddah,(grant numbers:GPIP: 906-612-2024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10934990","Vital health detection;IoT;AI;wearable devices;health care;BPR","Monitoring;Medical services;Artificial intelligence;Biomedical monitoring;Accuracy;Business;Threat assessment;Real-time systems;Cloud computing;Machine learning","","1","","30","CCBY","20 Mar 2025","2025","","IEEE","IEEE Journals"
"Application of Machine Learning Algorithms for Patient Length of Stay Prediction in Emergency Department During Hajj","H. Hijry; R. Olawoyin","Industrial & Systems Engineering Department, Oakland University, Rochester, MI, USA; Industrial & Systems Engineering Department, Oakland University, Rochester, MI, USA",2020 IEEE International Conference on Prognostics and Health Management (ICPHM),"7 Sep 2020","2020","","","1","8","Hospital emergency departments (EDs) in vital locations face high patient demand during peak events such as the annual Islamic pilgrimage (the Hajj event) in Mecca, Saudi Arabia, the New Year celebration ceremony in New York, and the World Cup, etc. Variable patient arrival rates and hospital conditions, particularly the availability of beds for inpatients, impacts long waiting times and length of stay (LOS), causing pain and dissatisfaction to patients. Patient length of stay is chosen to be a measure of ED overcrowding as a compliance measure set by most hospitals. Clinicians need to get an opportunity to be proactive in ED overcrowding crises, specifically in the case of peak days. For this purpose, the research aims to build a model to forecast Hajj patient LOS, using machine learning algorithms through predictive input factors such as patient age, mode of arrival, and patient's type of condition in the ED. Therefore, using machine learning algorithms, such as artificial neural networks, linear and logistic regressions, to forecast ED LOS allows clinicians to prepare for high levels of congestion and provide insights to determine the LOS of patients during vital times.","","978-1-7281-6286-7","10.1109/ICPHM49022.2020.9187055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9187055","Machine learning algorithms;Overcrowding;Length of Stay;Emergency Department;Hajj event","Hospitals;Predictive models;Solid modeling;Logistics;Correlation;Artificial neural networks","","7","","16","IEEE","7 Sep 2020","8-10 June 2020","8-10 June 2020","IEEE","IEEE Conferences"
"Optimizing Cardiac Surgery Waiting Lists with Machine Learning: A Data-Driven Approach for Clinical Prioritization","K. Z. O. Gagliotti; M. A. Gutierrez","Department of Biomedical Engineering, University of São Paulo Polytechnic School, São Paulo, Brazil; Heart Institute, Clinics Hospital, University of Sao Paulo Medical School and Polytechnic School, São Paulo, Brazil",2025 IEEE Afro-Mediterranean Conference on Artificial Intelligence (AMCAI),"15 Apr 2026","2025","CFP25TZ1-ART","","1","7","The persistence of waiting lists in universal healthcare systems poses a global challenge, driven by limited resources and increasing demand. This study presents a novel prioritization model for cardiac surgery waiting lists using machine learning (ML) algorithms trained real-world data from the Heart Institute (InCor), Clinics Hospital, University of São Paulo Medical School (HC FMUSP). Predictive models were developed using data from 588 patients who underwent valve surgery between 2010 and 2019, incorporating 44 clinical and demographic variables to predict the need for urgent surgical intervention. Multiple ML algorithms were evaluated to predict the need for urgent surgical intervention, with ensemble models showing the most promising results. The proposed model offers a data-driven, equitable, and efficient approach to surgical queue management, with potential to optimize resource allocation and improve cardiovascular outcomes. Clinical Relevance-Effective prioritization of patients on surgical waiting lists optimizes hospital resource allocation, lowers healthcare costs, and improves patient outcomes and quality of life. Integrating ML-based models into queue management offers clinical decision support by identifying high-priority patients who may benefit from earlier intervention, thereby reducing morbidity and mortality. The proposed model is designed to support, not replace, clinical judgment, serving as a data-driven tool to streamline prioritization, reduce waiting times, and decrease the incidence of urgent procedures.","","979-8-3315-0132-7","10.1109/AMCAI66110.2025.11474314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11474314","machine learning;surgical decision making;waiting lists;prioritization component","Contacts;Radio frequency;Protocols;Receivers;HTTP;Radio communication;Communication equipment;Artificial intelligence;Boosting;Learning (artificial intelligence)","","","","30","IEEE","15 Apr 2026","14-16 Oct. 2025","14-16 Oct. 2025","IEEE","IEEE Conferences"
"Telemedicine 2.0: Redefining Telehealth for Healthcare and Knowledge Management","R. D. Chand; R. Rajnish; H. Chandra; P. K. Pradhan","Amity Institute of Information Technology, Amity University Lucknow Campus, Uttar Pradesh; Amity Institute of Information Technology Amity University Lucknow Campus, Lucknow, India; Hemwati Nandan Bahuguna University, Dehradun, India; School of Telemedicine & Biomedical Informatics, Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow, India",2024 11th International Conference on Computing for Sustainable Global Development (INDIACom),"18 Apr 2024","2024","","","893","898","This study examines the evolution of telemedicine models in India, specifically focusing on how the healthcare system has moved beyond basic point-to-point consultations to embrace diverse and cost-effective approaches. It employs a mixed-methods approach, which includes personal observations, involvement in collaborations, technical expertise and analysis of existing telemedicine initiatives in India. It identifies several key trends in Indian telemedicine, which includes shift from telemedicine 1.0 to broader models, rise of web-based platforms and knowledge repositories, importance of collaboration and success of Tele-CMEs. This study highlights the tremendous potential of diverse telemedicine models in overcoming geographical barriers and improving healthcare access in developing countries like India. The findings emphasize the need for cost-effective and robust collaborative frameworks that integrate technology, knowledge management and organizational structures to ensure sustainable and impactful telemedicine programs.","","978-93-80544-51-9","10.23919/INDIACom61295.2024.10498763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10498763","Telemedicine 2.0;Social Telemedicine;Knowledge Management;Telehealth Technologies","Solid modeling;Social networking (online);Telemedicine;Collaboration;Medical services;Market research;Knowledge management","","3","","38","","18 Apr 2024","28 Feb.-1 March 2024","28 Feb.-1 March 2024","IEEE","IEEE Conferences"
"Public Hospital Inpatient Room Allocation and Patient Scheduling Considering Equity","L. Zhou; N. Geng; Z. Jiang; X. Wang","Sino-US Global Logistics Institute, Shanghai Jiao Tong University, Shanghai, China; Sino-US Global Logistics Institute, Shanghai Jiao Tong University, Shanghai, China; Sino-US Global Logistics Institute, Shanghai Jiao Tong University, Shanghai, China; Department of Industrial Engineering and Management, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Automation Science and Engineering,"1 Jul 2020","2020","17","3","1124","1139","This article studies the optimal allocation of inpatient rooms for multiple types of patients in public hospitals and the patient scheduling problem with planned acceptance ratios (ARs). For public hospitals, it is important to allocate limited resources to multiple types of patients and manage patient access for maximizing hospital revenue and upholding service equity. The problem is formulated as two-stage models. Considering uncertainties in patients' arrival and length of stay, we first propose a nonlinear stochastic programming (NSP) model for inpatient room allocation with the objective of maximizing revenue under the constraints of maintaining equity. To solve this problem, we transform the complex NSP model into a deterministic mixed-integer linear programming model, which is solved by CPLEX, by reformulating the chance constraints as knapsack constraints based on a linearization technique and a simulation model. Given the allocated capacity and planned AR, we further propose a two-stage stochastic mixed-integer program combined with a goal program model to optimize patient scheduling. To solve the model, a Benders decomposition based on the sample average approximation approach is proposed. The real data-based experimental results demonstrate the applicability and effectiveness of our models and approaches. The impacts of some parameters on the objective and decisions are also explored. A simulation procedure is developed to compare the performances of different patient scheduling methods, from which the results show that our proposed approach outperforms a benchmark policy. Note to Practitioners-Inpatient rooms are critical resources for hospitals. Against the background of aging populations and environmental problems, the twofold predicament-involving escalating healthcare demands and insufficient room-based resources-has led to the necessity for hospitals to operate more effectively and efficiently. Capacity management and patient scheduling are thus the two most important operations for hospital management. Because of the self-financing feature of hospitals and the quasi-public nature of medical services, it is important for public hospitals to judiciously allocate limited room capacities to multiple types of patients for balancing revenue and equity and schedule the arrival demands dynamically according to the planned capacity and acceptance ratio. In this article, we propose mathematical models and solution approaches for these two-stage problems, and their applicability and effectiveness are demonstrated by experiments based on real data. The managerial insights suggest that hospitals should improve the service equity gradually according to their financial situation because of the increasing marginal cost and should apply the scientific approaches and techniques, rather than by their experiences, to aid their management for better performance. By using approaches proposed in this article, hospital managers can be equipped with a decision support tool for effective capacity allocation and patient scheduling decisions. The parameters of our models could be tuned based on the preferences of different hospitals. Furthermore, these approaches can be applied to other settings with similar problems, such as government budget allocation considering both utility and equity, and service system management with waiting time requirement.","1558-3783","","10.1109/TASE.2019.2942990","National Natural Science Foundation of China(grant numbers:71432006,71972129,71671111); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8868095","Capacity allocation;equity;patient scheduling;stochastic programming","Hospitals;Resource management;Mathematical model;Stochastic processes;Job shop scheduling","","11","","71","IEEE","14 Oct 2019","July 2020","","IEEE","IEEE Journals"
"Video Summarization and Fracture Detection in Pediatric Wrist Ultrasound Using Deep Reinforcement Learning","S. Ghosh; G. Vadali; Y. Zhou; A. Singh; J. Knight; C. Keen; M. R. Panicker; A. R. Hareendranathan; J. L. Jaremko","Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Indian Institute of Technology, Palakkad, India; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Indian Institute of Technology, Palakkad, India; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada; Department of Radiology and Diagnostic Imaging, University of Alberta, Edmonton, Canada",2025 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"3 Dec 2025","2025","","","1","4","Wrist fractures are common injuries among children, significantly impacting daily activities and contributing to prolonged wait times in emergency departments. Portable ultrasound is a safe, radiation-free, and cost-effective diagnostic tool with real-time imaging capabilities to identify these fractures. Ultrasound (US) videos offer dynamic, detailed views for fracture detection but can be lengthy and redundant, making interpretation time-consuming for clinicians. To address this challenge, we developed a novel video summarization and fracture detection method using Deep Reinforcement Learning (DRL). The DRL agent emulates a human expert by analyzing the entire video, selecting diagnostically relevant frames, and leveraging a CNN to classify these frames as either normal or fractured. The reward mechanism, which prioritizes feature similarity and frame dissimilarity, enhances the agent’s ability to identify the keyframes. Anisotropic diffusion is applied to US images to enhance bright bony regions, before feature extraction and representativeness calculation. Frame similarity calculations are parallelized to reduce computational complexity, storage demands and simplify the classification task by focusing solely on frames indicative of fractures. On a dataset of 114 patients, the proposed classification network achieved an accuracy of 88.8% with a sensitivity of 92.5% and a specificity of 86.6% using the RL-generated video summaries. Our primary focus is on enhancing sensitivity to ensure that no fractured cases are missed. This performance surpasses the 84.4% accuracy achieved with full video classification. AI-driven ultrasound, with its efficiency, and reduced computational demands, provides a promising solution for early disease detection in resource-constrained environments.Clinical relevance— This AI-driven fast, cost-effective ultrasound tool achieves high accuracy and sensitivity while reducing training time by 50%, making it suitable for real-time clinical use on low-power devices. This can assist lightly-trained healthcare providers in early disease detection, reduce long wait times, and enhance treatment access in remote areas.","2694-0604","979-8-3315-8618-8","10.1109/EMBC58623.2025.11251547","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11251547","Wrist ultrasound;fracture detection;video;summarization;RL;CNN;segmentation;classification","Wrist;Training;Ultrasonic imaging;Accuracy;Sensitivity;Feature extraction;Real-time systems;Injuries;Videos;Diseases","Humans;Ultrasonography;Deep Learning;Fractures, Bone;Child;Video Recording;Wrist;Wrist Injuries;Image Processing, Computer-Assisted;Algorithms;Reinforcement Machine Learning","","","25","IEEE","3 Dec 2025","14-18 July 2025","14-18 July 2025","IEEE","IEEE Conferences"
"Smart Health System with Edge AI and Computer Vision for Real-Time Decision Support","H. Alomari; A. Salah; M. Naji","Department of Electrical and Mechanical Engineering, Applied Science University, Manama, Bahrain; Department of Electrical and Mechanical Engineering, Applied Science University, Manama, Bahrain; Department of Electrical and Mechanical Engineering, Applied Science University, Manama, Bahrain",2025 International Conference on Decision Aid Sciences and Applications (DASA),"6 May 2026","2025","","","119","124","The increasing demand for efficient and accessible healthcare services has highlighted the limitations of traditional patient management systems, including prolonged waiting times, high staffing costs, and substantial spatial requirements. This paper presents the design and evaluation of a Smart Health System leveraging Edge AI for real-time health monitoring and automated patient triage. The proposed framework integrates Bluetooth Low Energy (BLE) IoT sensors, machine learning based scoring models, and computer vision modules to enable continuous assessment and decision support at the edge. An NVIDIA Jetson Nano performs on-device inference, ensuring low latency, secure processing, and privacy preservation through AES-256 encryption and HTTPS based transmission. The modular system architecture supports scalability and seamless interoperability between IoT and AI components. Experimental validation confirmed accurate and stable physiological measurements, such as synchronized pulse rate and oxygen saturation, along with substantial operational gains: an 80% reduction in patient waiting time and space utilization, and a 50% reduction in staffing requirements. These outcomes demonstrate the system’s capability to optimize healthcare workflows while maintaining clinical reliability and privacy compliance, contributing to the advancement of preventive and occupational healthcare through intelligent real-time decision support at the edge.","","979-8-3315-8859-5","10.1109/DASA68193.2025.11498915","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11498915","Computer Vision;Edge-AI;Machine Learning;Smart Health System","Filtering;Filters;Circuits and systems;Internet of Things;Bluetooth Low Energy;Communication systems;Internet;Protocols;Internet of Medical Things;Asynchronous transfer mode","","","","25","IEEE","6 May 2026","1-2 Dec. 2025","1-2 Dec. 2025","IEEE","IEEE Conferences"
"Evaluating Patient Satisfaction Through Validated Predictive Classification Models","N. Chemkomnerd; W. Pannakkong; V. N. Huynh; T. Tanantong","School of Knowledge Science, Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; School of Knowledge Science, Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Department of Computer Science, Faculty of Science and Technology, Thammasat University, Pathum Thani, Thailand",2024 16th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"15 Oct 2024","2024","","","337","342","Patient satisfaction plays a crucial role in evaluating healthcare service quality. This study explores the field of predicting patient satisfaction in healthcare settings. The research aims to develop a predictive and validated model for patient satisfaction scores to improve patient satisfaction through simulation-optimization. Factors related to patient satisfaction were identified, including length of stay (LOS) and patient sociodemographic characteristics. A survey was conducted to collect relevant data. Several predictive modeling techniques were employed, i.e., ordinal logistic regression, decision trees, gradient boosted trees, and neural networks. The models were trained on the survey data to predict patient satisfaction scores. A simulation was then used to generate synthetic data, which was fed into the predictive models to obtain predicted satisfaction scores. The predicted scores were validated against the actual survey scores using the Mann-Whitney U test to evaluate each model's ability to represent the simulated system accurately. Findings suggest that ordinal logistic regression provides the best performance for predicting satisfaction across various LOS. The validated predictive model can be integrated into a simulation-optimization framework to identify strategies for improving patient satisfaction in healthcare systems, facilitating informed decision-makina and the allocation of resources.","2472-0070","979-8-3503-7790-3","10.1109/IIAI-AAI63651.2024.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707823","Patient Satisfaction;Classification;Machine Learning","Surveys;Measurement;Logistic regression;Medical services;Predictive models;Data models;Resource management;Reliability;Optimization;Synthetic data","","","","40","IEEE","15 Oct 2024","6-12 July 2024","6-12 July 2024","IEEE","IEEE Conferences"
